C0		N		IDLE
45		1		87.04
70		2		56.38
96		3		58.11
116		4		53.18
132		5		46.87
143		6		35.82
142		7		33.57
164		8		33.30
165		9		31.50
177		10		26.80
180		11		25.88
201		12		18.89
204		13		19.46
207		14		18.59
209		15		14.11
205		16		11.77
220		17		10.55
237		18		7.99
223		19		10.85
229		20		11.93
207		21		3.76
238		22		1.11
212		23		5.82
211		24		1.03
220		25		2.84
246		26		3.23
216		27		0.81
196		28		1.52
150		29		1.58
220		30		0.81
229		31		0.10
233		32		0.70
242		33		0.51
248		34		0.71
255		35		0.10
254		36		0.61
254		37		0.00
242		38		0.10
241		39		0.30
246		40		0.10
246		41		0.10
252		42		0.81
256		43		0.00
250		44		0.00
242		45		0.30
231		46		0.00
238		47		0.10
244		48		0.00
237		49		0.00
250		50		0.00
